data_as_of,start_date,end_date,gender,age,total_deaths,covid19_deaths
30/03/2022,01/01/2020,26/03/2022,Male,0-5 Months,21357,103
30/03/2022,01/01/2020,26/03/2022,Male,6-11 Months,1899,30
30/03/2022,01/01/2020,26/03/2022,Male,01 Year,1689,35
30/03/2022,01/01/2020,26/03/2022,Male,02 Years,1117,9
30/03/2022,01/01/2020,26/03/2022,Male,03 Years,917,10
30/03/2022,01/01/2020,26/03/2022,Male,04 Years,706,8
30/03/2022,01/01/2020,26/03/2022,Male,05 Years,672,11
30/03/2022,01/01/2020,26/03/2022,Male,06 Years,606,10
30/03/2022,01/01/2020,26/03/2022,Male,07 Years,532,10
30/03/2022,01/01/2020,26/03/2022,Male,08 Years,486,13
30/03/2022,01/01/2020,26/03/2022,Male,09 Years,524,22
30/03/2022,01/01/2020,26/03/2022,Male,10 Years,595,15
30/03/2022,01/01/2020,26/03/2022,Male,11 Years,667,12
30/03/2022,01/01/2020,26/03/2022,Male,12 Years,745,20
30/03/2022,01/01/2020,26/03/2022,Male,13 Years,1082,26
30/03/2022,01/01/2020,26/03/2022,Male,14 Years,1480,19
30/03/2022,01/01/2020,26/03/2022,Male,15 Years,2031,42
30/03/2022,01/01/2020,26/03/2022,Male,16 Years,2854,50
30/03/2022,01/01/2020,26/03/2022,Male,17 Years,3793,66
30/03/2022,01/01/2020,26/03/2022,Male,18 Years,5244,102
30/03/2022,01/01/2020,26/03/2022,Male,19 Years,6283,135
30/03/2022,01/01/2020,26/03/2022,Male,20 Years,6606,148
30/03/2022,01/01/2020,26/03/2022,Male,21 Years,7494,190
30/03/2022,01/01/2020,26/03/2022,Male,22 Years,7864,210
30/03/2022,01/01/2020,26/03/2022,Male,23 Years,8137,261
30/03/2022,01/01/2020,26/03/2022,Male,24 Years,8677,319
30/03/2022,01/01/2020,26/03/2022,Male,25 Years,9282,316
30/03/2022,01/01/2020,26/03/2022,Male,26 Years,9839,382
30/03/2022,01/01/2020,26/03/2022,Male,27 Years,10577,456
30/03/2022,01/01/2020,26/03/2022,Male,28 Years,11370,550
30/03/2022,01/01/2020,26/03/2022,Male,29 Years,12117,640
30/03/2022,01/01/2020,26/03/2022,Male,30 Years,12785,701
30/03/2022,01/01/2020,26/03/2022,Male,31 Years,13170,807
30/03/2022,01/01/2020,26/03/2022,Male,32 Years,13240,842
30/03/2022,01/01/2020,26/03/2022,Male,33 Years,13454,926
30/03/2022,01/01/2020,26/03/2022,Male,34 Years,13794,1054
30/03/2022,01/01/2020,26/03/2022,Male,35 Years,14183,1090
30/03/2022,01/01/2020,26/03/2022,Male,36 Years,14570,1204
30/03/2022,01/01/2020,26/03/2022,Male,37 Years,15086,1356
30/03/2022,01/01/2020,26/03/2022,Male,38 Years,15588,1408
30/03/2022,01/01/2020,26/03/2022,Male,39 Years,16606,1607
30/03/2022,01/01/2020,26/03/2022,Male,40 Years,17064,1640
30/03/2022,01/01/2020,26/03/2022,Male,41 Years,17523,1880
30/03/2022,01/01/2020,26/03/2022,Male,42 Years,17508,2034
30/03/2022,01/01/2020,26/03/2022,Male,43 Years,18013,2164
30/03/2022,01/01/2020,26/03/2022,Male,44 Years,18494,2480
30/03/2022,01/01/2020,26/03/2022,Male,45 Years,19065,2680
30/03/2022,01/01/2020,26/03/2022,Male,46 Years,20410,2924
30/03/2022,01/01/2020,26/03/2022,Male,47 Years,21695,3181
30/03/2022,01/01/2020,26/03/2022,Male,48 Years,24205,3638
30/03/2022,01/01/2020,26/03/2022,Male,49 Years,27011,3972
30/03/2022,01/01/2020,26/03/2022,Male,50 Years,30026,4586
30/03/2022,01/01/2020,26/03/2022,Male,51 Years,31389,4818
30/03/2022,01/01/2020,26/03/2022,Male,52 Years,33285,5187
30/03/2022,01/01/2020,26/03/2022,Male,53 Years,35110,5299
30/03/2022,01/01/2020,26/03/2022,Male,54 Years,38695,5701
30/03/2022,01/01/2020,26/03/2022,Male,55 Years,42887,6208
30/03/2022,01/01/2020,26/03/2022,Male,56 Years,47948,7050
30/03/2022,01/01/2020,26/03/2022,Male,57 Years,51831,7319
30/03/2022,01/01/2020,26/03/2022,Male,58 Years,56463,7832
30/03/2022,01/01/2020,26/03/2022,Male,59 Years,60577,8709
30/03/2022,01/01/2020,26/03/2022,Male,60 Years,65296,9322
30/03/2022,01/01/2020,26/03/2022,Male,61 Years,68908,9776
30/03/2022,01/01/2020,26/03/2022,Male,62 Years,72262,10443
30/03/2022,01/01/2020,26/03/2022,Male,63 Years,76450,10912
30/03/2022,01/01/2020,26/03/2022,Male,64 Years,79126,11289
30/03/2022,01/01/2020,26/03/2022,Male,65 Years,80859,11808
30/03/2022,01/01/2020,26/03/2022,Male,66 Years,82575,11982
30/03/2022,01/01/2020,26/03/2022,Male,67 Years,83938,12114
30/03/2022,01/01/2020,26/03/2022,Male,68 Years,85782,12635
30/03/2022,01/01/2020,26/03/2022,Male,69 Years,86845,12960
30/03/2022,01/01/2020,26/03/2022,Male,70 Years,89535,13474
30/03/2022,01/01/2020,26/03/2022,Male,71 Years,91208,13633
30/03/2022,01/01/2020,26/03/2022,Male,72 Years,96215,14540
30/03/2022,01/01/2020,26/03/2022,Male,73 Years,102563,15511
30/03/2022,01/01/2020,26/03/2022,Male,74 Years,99960,15260
30/03/2022,01/01/2020,26/03/2022,Male,75 Years,92007,14174
30/03/2022,01/01/2020,26/03/2022,Male,76 Years,93525,14103
30/03/2022,01/01/2020,26/03/2022,Male,77 Years,100048,14971
30/03/2022,01/01/2020,26/03/2022,Male,78 Years,102140,15296
30/03/2022,01/01/2020,26/03/2022,Male,79 Years,98406,14674
30/03/2022,01/01/2020,26/03/2022,Male,80 Years,95652,14224
30/03/2022,01/01/2020,26/03/2022,Male,81 Years,95166,13825
30/03/2022,01/01/2020,26/03/2022,Male,82 Years,94863,13728
30/03/2022,01/01/2020,26/03/2022,Male,83 Years,94828,13763
30/03/2022,01/01/2020,26/03/2022,Male,84 Years,93082,13140
30/03/2022,01/01/2020,26/03/2022,Male,85 Years and over,855422,110283
30/03/2022,01/01/2020,26/03/2022,Female,0-5 Months,17430,89
30/03/2022,01/01/2020,26/03/2022,Female,6-11 Months,1506,22
30/03/2022,01/01/2020,26/03/2022,Female,01 Year,1374,20
30/03/2022,01/01/2020,26/03/2022,Female,02 Years,853,13
30/03/2022,01/01/2020,26/03/2022,Female,03 Years,642,10
30/03/2022,01/01/2020,26/03/2022,Female,04 Years,558,14
30/03/2022,01/01/2020,26/03/2022,Female,05 Years,473,9
30/03/2022,01/01/2020,26/03/2022,Female,06 Years,451,12
30/03/2022,01/01/2020,26/03/2022,Female,07 Years,444,14
30/03/2022,01/01/2020,26/03/2022,Female,08 Years,417,10
30/03/2022,01/01/2020,26/03/2022,Female,09 Years,376,13
30/03/2022,01/01/2020,26/03/2022,Female,10 Years,419,10
30/03/2022,01/01/2020,26/03/2022,Female,11 Years,464,10
30/03/2022,01/01/2020,26/03/2022,Female,12 Years,579,16
30/03/2022,01/01/2020,26/03/2022,Female,13 Years,697,22
30/03/2022,01/01/2020,26/03/2022,Female,14 Years,817,26
30/03/2022,01/01/2020,26/03/2022,Female,15 Years,960,40
30/03/2022,01/01/2020,26/03/2022,Female,16 Years,1223,33
30/03/2022,01/01/2020,26/03/2022,Female,17 Years,1421,56
30/03/2022,01/01/2020,26/03/2022,Female,18 Years,1923,60
30/03/2022,01/01/2020,26/03/2022,Female,19 Years,2074,91
30/03/2022,01/01/2020,26/03/2022,Female,20 Years,2335,113
30/03/2022,01/01/2020,26/03/2022,Female,21 Years,2643,110
30/03/2022,01/01/2020,26/03/2022,Female,22 Years,2699,176
30/03/2022,01/01/2020,26/03/2022,Female,23 Years,3013,172
30/03/2022,01/01/2020,26/03/2022,Female,24 Years,3152,197
30/03/2022,01/01/2020,26/03/2022,Female,25 Years,3451,222
30/03/2022,01/01/2020,26/03/2022,Female,26 Years,3723,243
30/03/2022,01/01/2020,26/03/2022,Female,27 Years,4090,299
30/03/2022,01/01/2020,26/03/2022,Female,28 Years,4409,322
30/03/2022,01/01/2020,26/03/2022,Female,29 Years,4966,374
30/03/2022,01/01/2020,26/03/2022,Female,30 Years,5349,484
30/03/2022,01/01/2020,26/03/2022,Female,31 Years,5533,507
30/03/2022,01/01/2020,26/03/2022,Female,32 Years,5984,566
30/03/2022,01/01/2020,26/03/2022,Female,33 Years,6307,574
30/03/2022,01/01/2020,26/03/2022,Female,34 Years,6475,612
30/03/2022,01/01/2020,26/03/2022,Female,35 Years,6846,673
30/03/2022,01/01/2020,26/03/2022,Female,36 Years,7191,720
30/03/2022,01/01/2020,26/03/2022,Female,37 Years,7642,752
30/03/2022,01/01/2020,26/03/2022,Female,38 Years,8072,877
30/03/2022,01/01/2020,26/03/2022,Female,39 Years,8600,952
30/03/2022,01/01/2020,26/03/2022,Female,40 Years,8989,1083
30/03/2022,01/01/2020,26/03/2022,Female,41 Years,9473,1120
30/03/2022,01/01/2020,26/03/2022,Female,42 Years,9760,1267
30/03/2022,01/01/2020,26/03/2022,Female,43 Years,10102,1356
30/03/2022,01/01/2020,26/03/2022,Female,44 Years,10495,1443
30/03/2022,01/01/2020,26/03/2022,Female,45 Years,11077,1495
30/03/2022,01/01/2020,26/03/2022,Female,46 Years,11963,1692
30/03/2022,01/01/2020,26/03/2022,Female,47 Years,12811,1767
30/03/2022,01/01/2020,26/03/2022,Female,48 Years,14157,2071
30/03/2022,01/01/2020,26/03/2022,Female,49 Years,15954,2302
30/03/2022,01/01/2020,26/03/2022,Female,50 Years,17865,2537
30/03/2022,01/01/2020,26/03/2022,Female,51 Years,18741,2604
30/03/2022,01/01/2020,26/03/2022,Female,52 Years,19821,2766
30/03/2022,01/01/2020,26/03/2022,Female,53 Years,21094,2933
30/03/2022,01/01/2020,26/03/2022,Female,54 Years,22922,3237
30/03/2022,01/01/2020,26/03/2022,Female,55 Years,25842,3543
30/03/2022,01/01/2020,26/03/2022,Female,56 Years,28952,4016
30/03/2022,01/01/2020,26/03/2022,Female,57 Years,32027,4339
30/03/2022,01/01/2020,26/03/2022,Female,58 Years,34352,4850
30/03/2022,01/01/2020,26/03/2022,Female,59 Years,38114,5278
30/03/2022,01/01/2020,26/03/2022,Female,60 Years,40855,5662
30/03/2022,01/01/2020,26/03/2022,Female,61 Years,43592,6115
30/03/2022,01/01/2020,26/03/2022,Female,62 Years,46349,6633
30/03/2022,01/01/2020,26/03/2022,Female,63 Years,49345,7122
30/03/2022,01/01/2020,26/03/2022,Female,64 Years,51694,7520
30/03/2022,01/01/2020,26/03/2022,Female,65 Years,53365,7775
30/03/2022,01/01/2020,26/03/2022,Female,66 Years,55050,7843
30/03/2022,01/01/2020,26/03/2022,Female,67 Years,57101,8091
30/03/2022,01/01/2020,26/03/2022,Female,68 Years,59242,8461
30/03/2022,01/01/2020,26/03/2022,Female,69 Years,61616,8789
30/03/2022,01/01/2020,26/03/2022,Female,70 Years,64458,8959
30/03/2022,01/01/2020,26/03/2022,Female,71 Years,68403,9544
30/03/2022,01/01/2020,26/03/2022,Female,72 Years,73505,10109
30/03/2022,01/01/2020,26/03/2022,Female,73 Years,79470,10685
30/03/2022,01/01/2020,26/03/2022,Female,74 Years,79374,10956
30/03/2022,01/01/2020,26/03/2022,Female,75 Years,74497,9989
30/03/2022,01/01/2020,26/03/2022,Female,76 Years,77878,10286
30/03/2022,01/01/2020,26/03/2022,Female,77 Years,84998,10984
30/03/2022,01/01/2020,26/03/2022,Female,78 Years,88419,11481
30/03/2022,01/01/2020,26/03/2022,Female,79 Years,87308,11045
30/03/2022,01/01/2020,26/03/2022,Female,80 Years,88368,10913
30/03/2022,01/01/2020,26/03/2022,Female,81 Years,89959,11102
30/03/2022,01/01/2020,26/03/2022,Female,82 Years,93590,11551
30/03/2022,01/01/2020,26/03/2022,Female,83 Years,95822,11522
30/03/2022,01/01/2020,26/03/2022,Female,84 Years,98097,11713
30/03/2022,01/01/2020,26/03/2022,Female,85 Years and over,1311788,140717

